"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|IT-South","Without Sequence","138.70","",""
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|IT-South","Without Sequence","138.70","",""
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|IT-South","Without Sequence","138.70","",""
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|IT-South","Without Sequence","138.70","",""
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|IT-South","Without Sequence","134.06","",""
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|IT-South","Without Sequence","134.06","",""
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|IT-South","Without Sequence","134.06","",""
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|IT-South","Without Sequence","134.06","",""
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|IT-South","Without Sequence","134.41","",""
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|IT-South","Without Sequence","134.41","",""
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|IT-South","Without Sequence","134.41","",""
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|IT-South","Without Sequence","134.41","",""
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|IT-South","Without Sequence","131.99","",""
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|IT-South","Without Sequence","131.99","",""
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|IT-South","Without Sequence","131.99","",""
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|IT-South","Without Sequence","131.99","",""
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|IT-South","Without Sequence","131.99","",""
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|IT-South","Without Sequence","131.99","",""
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|IT-South","Without Sequence","131.99","",""
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|IT-South","Without Sequence","131.99","",""
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|IT-South","Without Sequence","131.99","",""
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|IT-South","Without Sequence","131.99","",""
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|IT-South","Without Sequence","131.99","",""
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|IT-South","Without Sequence","131.99","",""
